"id","shop_location","shop_name","lon","lat","product","sales_qty","sales_revenue"
53,"Umoja 2 and 3","Super bargain shop Umoja",36.893576,-1.276069,"bits",6088,608800
54,"Ruai","Jerry cereals shop",36.98864,-1.298765,"bits",1769,176900
55,"Mlolongo","Hesbonellar shop 2",36.943483,-1.390425,"bits",2490,249000
56,"Ngong","Jetmark Traders embulbul",36.67436,-1.333753,"bits",8388,838800
57,"Dandora Phase 4 & 5","Mandelas Price",36.905031,-1.242604,"bits",865,86500
58,"Syokimau","Fm Technical shop",36.946378,-1.364303,"bits",5020,502000
59,"Dandora Phase 3","Kairu's Shopping Complex",36.904,-1.2503,"bits",6946,694600
60,"Rongai","Church of the Nazarene Kware",36.748792,-1.391728,"bits",9345,934500
61,"Mwiki","Special Gas",36.919849,-1.231961,"bits",5494,549400
62,"Thika","TODAY MINI SHOP",37.09698,-1.07252,"bits",8127,812700
63,"Kayole","CHRIS MALI MALI SHOP",36.91257,-1.285587,"bits",2685,268500
64,"Kasarani","By Grace General Shop - Kasarani",36.898699,-1.218336,"bits",9454,945400
65,"Mlolongo","KIKA INVESTMENT",36.94369,-1.386883,"bits",2384,238400
66,"Githurai 45","Perfect gas suppliers",36.916722,-1.20781,"bits",8558,855800
67,"Kibera","Uchumi Ndogo Shop",36.793135,-1.31547,"bits",2772,277200
68,"Umoja 2 and 3","Kingsmatt Milk ATM-EA",36.89822,-1.27905,"bits",9578,957800
69,"Kayole","By Grace Derek shop",36.92386,-1.264017,"bits",5180,518000
70,"Mathare North","Slopes General Hardware",36.871475,-1.248993,"bits",1122,112200
71,"Kahawa West","Dan Rose KM",36.929438,-1.173808,"bits",9022,902200
72,"Obama","Genesis Enterprises",36.92449,-1.25633,"bits",7052,705200
73,"Thika","DELIGHT BEAUTY SHOP",37.11212,-1.05677,"bits",9783,978300
74,"Umoja 2 and 3","Apple Gas Point",36.895805,-1.262469,"bits",2075,207500
75,"Kitengela","Ben Ben boutique",36.954459,-1.481914,"bits",2488,248800
76,"Ruaka/Denderu","Titans Complex",36.78516,-1.20707,"bits",648,64800
77,"Embakasi (Fedha, Nyayo,Tasia)","Mama Favour shop",36.902982,-1.304446,"bits",4041,404100
78,"Athi River","Menengai Stores",36.97421,-1.457337,"bits",3666,366600
79,"Mowlem-Dandora","Russian enterprises",36.909583,-1.25837,"bits",933,93300
80,"Zimmerman","Pegjam Enterprise",36.895159,-1.21041,"bits",8641,864100
81,"Mathare North","Gatitu general",36.867776,-1.255071,"bits",3143,314300
82,"Juja","Favoured mini mart ( k road)",37.003833,-1.121352,"bits",6144,614400
83,"Kaloleni","NYANGE STORES",36.860476,-1.298502,"bits",891,89100
84,"Thika","Hope Mini Market",37.055877,-1.067204,"bits",7570,757000
85,"Kibera","S.M GENERAL SHOP",36.792379,-1.312069,"bits",2297,229700
86,"Huruma","Amazing Grace Kerosene Pump",36.877813,-1.258908,"bits",3872,387200
87,"Dandora Phase 3","Smart Gas",36.906571,-1.249777,"bits",5778,577800
88,"Umoja Innercore and 1","R and K",36.890947,-1.286785,"bits",9688,968800
89,"Donholm","One stop butchery",36.889565,-1.292636,"bits",2772,277200
90,"Embakasi (Fedha, Nyayo,Tasia)","Fei Shop At Mradi Slum",36.907776,-1.31566,"bits",4144,414400
91,"Embakasi (Fedha, Nyayo,Tasia)","Robetec General shop",36.90169,-1.31561,"bits",566,56600
92,"Embakasi (Fedha, Nyayo,Tasia)","Shop 360",36.911528,-1.308093,"bits",3542,354200
93,"Githurai 45","Mt Kenya Shop(Githurai 45)",36.922537,-1.215014,"bits",741,74100
94,"Lucky Summer","Nevillos Investment",36.9012,-1.238628,"bits",9829,982900
95,"Kinoo","Supreme Supermarket",36.702679,-1.257242,"bits",7419,741900
96,"Thika","Testimony Shop",37.077826,-1.054281,"bits",1971,197100
97,"Mlolongo","Walk and shop supermarket",36.939646,-1.395405,"bits",6686,668600
98,"Kibera Ayany","Kibera 42",36.77358,-1.309406,"bits",6683,668300
99,"Ngando","Pedimart Supermarket & Supplies Ltd",36.73861,-1.30664,"bits",6179,617900
100,"Eastleigh","Al Nasri Shop",36.852789,-1.286328,"bits",9928,992800
101,"Kahawa West","Avenue Shop-EA",36.902049,-1.186182,"bits",595,59500
102,"Umoja 2 and 3","Kaingoni Traders",36.894723,-1.26501,"bits",4485,448500
103,"Kitengela","DM gas and Mpesa",36.966553,-1.481087,"bits",8040,804000
104,"Waithaka","Mashi minimart",36.724876,-1.29014,"bits",9941,994100
105,"Kawangware","Shawnlink Enterprises - Methonge",36.742402,-1.284197,"bits",776,77600
106,"Maringo","Hurricane Garments",36.861423,-1.293188,"bits",5,500
107,"Embakasi (Fedha, Nyayo,Tasia)","Bahamas (C) Electronics",36.898,-1.319459,"bits",1770,177000
108,"Mwiki","Edibiqs Mini Mart",36.923695,-1.228553,"bits",2205,220500
109,"Kayole","Eighty eight auto pcea",36.913473,-1.270776,"bits",3607,360700
110,"Dandora Phase 4 & 5","Tula cyber",36.9039,-1.2439,"bits",7533,753300
111,"Ngando","Kizingo Shop (Jamhuri)",36.739172,-1.302147,"bits",1935,193500
112,"Dandora Phase 1","INTERNATIONAL YOUNG TAILORS",36.892913,-1.255677,"bits",9943,994300
113,"Lucky Summer","Spot on play ground",36.898572,-1.239385,"bits",3241,324100
114,"Athi River","STAR LIGHT",36.9728,-1.4546,"bits",2757,275700
115,"Kikuyu","Bobs Bistro kwambira",36.651389,-1.217629,"bits",5069,506900
116,"Rongai","Digital makaa",36.7571,-1.3977,"bits",6341,634100
117,"Jerusalem Jericho","GATHAMBIA SHOP",36.87055,-1.28597,"bits",1754,175400
118,"Mlango Kubwa","Open blessings holdings",36.851197,-1.265445,"bits",9976,997600
119,"Kayole","Perfect mission investment",36.911102,-1.280288,"bits",800,80000
120,"Kariobangi North","Jegla Gas",36.8805,-1.2607,"bits",68,6800
121,"Thika","Brians General Shop",37.052557,-1.073286,"bits",5343,534300
122,"Mukuru kwa Njenga","NJOWAS TRADERS",36.8851,-1.3192,"bits",1403,140300
123,"Mlolongo","MG shop 3",36.944664,-1.400473,"bits",8177,817700
124,"Kahawa","Favoured Shop",36.925934,-1.198976,"bits",4702,470200
125,"Waithaka","Quick fix",36.723562,-1.289973,"bits",3114,311400
126,"Githurai 45","Magic Furnisher",36.936827,-1.208836,"bits",1296,129600
127,"Kahawa West","BEAUTIFLOW LTD",36.907463,-1.181664,"bits",1285,128500
128,"Pipeline","Muhindi Mweusi Supermarket Transami",36.896942,-1.324597,"bits",6484,648400
129,"Kawangware","Kimsmart Supermarket",36.753427,-1.286466,"bits",9885,988500
130,"Kariobangi North","Star Fashion",36.883486,-1.252726,"bits",9399,939900
131,"Pipeline","Sirdawa Investment",36.889422,-1.311937,"bits",387,38700
132,"Limuru","Jamwa Supermarket",36.666923,-1.149155,"bits",4202,420200
133,"Kibera","Western general shop",36.796079,-1.314581,"bits",2464,246400
134,"Mwihoko","Timko Agency 2",36.961505,-1.206047,"bits",9995,999500
135,"Githurai 45","God's favour shop (45)",36.92238,-1.213022,"bits",7187,718700
136,"Kahawa West","Lillies Supermarket",36.906785,-1.18638,"bits",3701,370100
137,"Umoja Innercore and 1","Mama Betty mini shop",36.894299,-1.281967,"bits",7251,725100
138,"South C","Villes food limited.",36.827877,-1.31356,"bits",2539,253900
139,"Pipeline","Bluestart Glassmart And General Merchants",36.897348,-1.319298,"bits",3859,385900
140,"Kibera","Double K Beuty Shop",36.79769,-1.312348,"bits",4165,416500
141,"Thika","Kikwetu Mini Matt And Dairy",37.080131,-1.036283,"bits",2302,230200
142,"Mathare slum","Highway store",36.863018,-1.262419,"bits",8873,887300
143,"Ruiru","Dobren Enterprises",36.958298,-1.157397,"bits",2467,246700
144,"Mwiki","Johntex electronics",36.934691,-1.234749,"bits",1235,123500
145,"Lucky Summer","Rk Investment",36.889565,-1.244379,"bits",5859,585900
146,"Lucky Summer","Spot on mainstage",36.8975,-1.2398,"bits",7638,763800
147,"Pipeline","General Citizen Supermarket",36.895861,-1.318289,"bits",3992,399200
148,"Gatina","Mwireri Shop",36.75152,-1.28001,"bits",1890,189000
149,"Buruburu","The Care Beauty Salon",36.87418,-1.279283,"bits",4498,449800
150,"CBD","Muthurwa Nine Investments",36.8343,-1.2879,"bits",927,92700
151,"Marurui","Agash Investment Ltd",36.8885,-1.200013,"bits",4525,452500
152,"Kahawa West","LAQUINTA SUPERMARKET (KM)",36.930603,-1.17459,"bits",2446,244600
153,"Huruma","Limbo ChapChap Store",36.87626,-1.255687,"bits",1684,168400
154,"Kariobangi South","KASA GAS SUPPLY",36.885263,-1.267297,"bits",6984,698400
155,"Thika","Everest enterprise makongeni",37.11396,-1.05793,"bits",1027,102700
156,"Mwiki","Kena enterprises",36.9309,-1.2368,"bits",5804,580400
157,"Dandora Phase 4 & 5","Grahons Enterprise",36.913562,-1.241973,"bits",4055,405500
158,"Dandora Phase 1","Kuku shop",36.89282,-1.255243,"bits",9290,929000
159,"Shauri Moyo","THE PLACE TO BE",36.847364,-1.28873,"bits",5044,504400
160,"Kitengela","Bethel Shop",36.953545,-1.475323,"bits",6798,679800
161,"Kayole","Carfex general store",36.910978,-1.287483,"bits",7700,770000
162,"Kibera Ayany","Graceline adventures",36.777108,-1.311783,"bits",9893,989300
163,"Imara Daima","Blessed cereals shop",36.890937,-1.326212,"bits",87,8700
164,"Mathare North","Junja traders",36.874215,-1.25082,"bits",9621,962100
165,"Waithaka","Maxim Enterprises",36.728027,-1.279152,"bits",9339,933900
166,"Eastleigh","Utukufu Butchery",36.850742,-1.282451,"bits",3849,384900
167,"Umoja 2 and 3","Edlink agencies",36.893516,-1.272407,"bits",9923,992300
168,"Mwiki","Jirehmart",36.922333,-1.227206,"bits",93,9300
169,"Umoja 2 and 3","GENESSIS ATM MILK",36.893471,-1.268624,"bits",3521,352100
170,"Gachie","Kings Gas",36.778441,-1.220172,"bits",4133,413300
171,"Rongai","Nel shop",36.720999,-1.373498,"bits",1105,110500
172,"Ruaraka/Baba Dogo","Oasis Minimart",36.885662,-1.24813,"bits",7222,722200
173,"Buruburu","EPIC ENERGY EFFICIENT TECHNOLOGIES LTD",36.881417,-1.287633,"bits",3378,337800
174,"Kariobangi North","Karia Supermarket 6",36.884,-1.2632,"bits",4289,428900
175,"Mathare slum","PAMOJA EXPRESS SUPERMARKET",36.86459,-1.25998,"bits",2505,250500
176,"Huruma","Irene Muthoni Njuguna shop",36.875125,-1.260785,"bits",4839,483900
177,"Kahawa West","Elidah Supermarket",36.906147,-1.184312,"bits",1444,144400
178,"Thika","Le Patron Thika",37.0789,-1.0384,"bits",8261,826100
179,"Huruma","Milestone Technology Ltd",36.869873,-1.257232,"bits",9507,950700
180,"Kaloleni","SHASHE ENTERPRISES",36.858583,-1.296482,"bits",770,77000
181,"Kikuyu","Boutique kikuyu",36.664455,-1.245543,"bits",6354,635400
182,"Kayole","Smart Gas Supply",36.914743,-1.280473,"bits",691,69100
183,"Kawangware","Solomon's Shop",36.744355,-1.285308,"bits",356,35600
184,"Huruma","GOD IS GOOD BUSINESS CENTER",36.87624,-1.25441,"bits",1084,108400
185,"Eastleigh","Fixmatt Supermarket Pumwani California",36.847004,-1.282601,"bits",8165,816500
186,"Kitengela","Mt kenya shop kitengela",36.956175,-1.472097,"bits",9681,968100
187,"Kasarani","El- Betel General Shop",36.909168,-1.219623,"bits",192,19200
188,"Buruburu","KAWASANG GAS RETAILER",36.8804,-1.2839,"bits",2503,250300
189,"Mathare North","Dc Wines And Spirit",36.872799,-1.247656,"bits",6227,622700
190,"Mathare North","Genuine Gas",36.872687,-1.248028,"bits",504,50400
191,"Buruburu","Hillocks Shop Harambee",36.87502,-1.284686,"bits",7308,730800
192,"Nairobi West","Wild style shop",36.820275,-1.307627,"bits",1835,183500
193,"Kiambu Township","Shegeh Distributors",36.840847,-1.17026,"bits",6509,650900
194,"Athi River","TWINE SHOP",36.979389,-1.448687,"bits",4980,498000
195,"Juja","Kamaham Traders (Juja)",36.999372,-1.081783,"bits",7194,719400
196,"Embakasi (Fedha, Nyayo,Tasia)","Seven Up",36.895861,-1.307285,"bits",5674,567400
197,"Riruta Satellite","Kizingo Cyber Satellite",36.735249,-1.292524,"bits",1346,134600
198,"Kibera","Human Needs Project (Kibera)",36.781443,-1.314061,"bits",8447,844700
199,"Kitengela","Best home store",36.959295,-1.478168,"bits",6450,645000
200,"Ruai","Safeway's Electronics",36.972566,-1.290314,"bits",7148,714800
201,"Ruai","RSL supermarket",36.97236,-1.288129,"bits",907,90700
202,"Thika","Murime Enterprises",37.075002,-1.048719,"bits",6925,692500
203,"Kiambiu","Kamax Enterprises",36.866121,-1.28104,"bits",4933,493300
204,"Kawangware","Fraemy Supermarket",36.75179,-1.28085,"bits",6454,645400
205,"Huruma","Jose shop",36.872229,-1.257872,"bits",2397,239700
206,"Nairobi West","Nairobi West gas",36.822751,-1.307331,"bits",9109,910900
207,"Kibera","Ogare Success",36.777378,-1.313229,"bits",1913,191300
208,"Ngara","African General Store",36.829803,-1.278025,"bits",9014,901400
209,"Kayole","Afro lights electricals and hardware",36.911718,-1.276483,"bits",1589,158900
210,"Langata","Mambo Jambo Mini Mart",36.779191,-1.323359,"bits",4302,430200
211,"Ruai","Agape gas center",36.95885,-1.280463,"bits",5771,577100
212,"Ngando","Wambati Mini Market",36.744403,-1.302224,"bits",5370,537000
213,"Waithaka","Simran Investment",36.720762,-1.285075,"bits",7100,710000
214,"Kitengela","Gichuki electronics",36.959882,-1.474392,"bits",5042,504200
215,"Kayole","Gas point patanisho",36.911415,-1.27352,"bits",1209,120900
216,"Chokaa","Muhindi mweusi supermarket Chokaa",36.951565,-1.249931,"bits",5570,557000
217,"Thika","ANDAY GAS SUPPLIERS MALABA",37.075179,-1.092763,"bits",619,61900
218,"Thika","Duka la vyoo (kisii)",37.125338,-1.069117,"bits",3977,397700
219,"Dandora Phase 4 & 5","Chwele Shop",36.91079,-1.243846,"bits",8563,856300
220,"Waithaka","Camnice Beauty Shop",36.726907,-1.294156,"bits",2868,286800
221,"Ruiru","King'swill Trading",36.929214,-1.152419,"bits",8859,885900
222,"Ruiru","Naina investments",36.94588,-1.150871,"bits",459,45900
223,"Shauri Moyo","Blessed General Shop (Shauri Moyo)",36.844063,-1.28968,"bits",7925,792500
224,"Kangemi","Kristech enterprises",36.747577,-1.266293,"bits",6473,647300
225,"Kariobangi South","Eastlands Energy Center",36.887307,-1.26248,"bits",6472,647200
226,"Limuru","Njogu's Shop",36.64238,-1.11119,"bits",4625,462500
227,"Ruiru","Kagz shop",36.954188,-1.163578,"bits",6100,610000
228,"Umoja Innercore and 1","General shop Umoja",36.896666,-1.284839,"bits",5749,574900
229,"Nairobi West","Mumias Gas",36.819121,-1.307093,"bits",3329,332900
230,"Kibera","Frida's shop",36.77282,-1.308015,"bits",4443,444300
231,"Kayole","Meatland Butchery",36.908503,-1.279651,"bits",8618,861800
232,"Ruaka/Denderu","Nandis fashions",36.755853,-1.174637,"bits",2195,219500
233,"Kayole","Denzel Communications",36.916437,-1.266498,"bits",2866,286600
234,"Kariokor","Mukurwei-ini general shop",36.833656,-1.279981,"bits",2550,255000
235,"Thika","Ree Supermarket",37.095347,-1.072549,"bits",2320,232000
236,"Donholm","The morgans",36.905613,-1.287104,"bits",2996,299600
237,"Huruma","GLAMOROUS SHOP",36.873723,-1.256937,"bits",1774,177400
238,"Ngong","Leyfin's crunchy cafe",36.6602,-1.3496,"bits",5244,524400
239,"Dandora Phase 4 & 5","Glory Agency",36.901553,-1.249758,"bits",9504,950400
240,"Pipeline","General citizen mini market",36.894464,-1.319343,"bits",9917,991700
241,"Jerusalem Jericho","Mercyjoh Shop",36.867088,-1.285917,"bits",3031,303100
242,"Dagoretti Corner","Four Mart Supermarket",36.757908,-1.298984,"bits",7416,741600
243,"Imara Daima","Wamwea Enterprises",36.885564,-1.323086,"bits",3723,372300
244,"Uthiru","Genesis Gas Supplies (Uthiru)",36.718094,-1.262259,"bits",5208,520800
245,"Pangani","Maskumatt Supermarket",36.839404,-1.267684,"bits",2862,286200
246,"Ruai","CEREALS & GENERAL SHOP",36.959689,-1.279939,"bits",678,67800
247,"Dandora Phase 4 & 5","Mecks Designers",36.905082,-1.242432,"bits",2445,244500
248,"Obama","Soko Huru saika",36.9155,-1.2532,"bits",5784,578400
249,"Githurai 45","Samtime Enterprise",36.916947,-1.208568,"bits",6234,623400
250,"Kibera","Beauty cosmetic katwekera shop",36.783021,-1.314512,"bits",4347,434700
251,"Roysambu/Mirema","Mirema Mini Mart",36.88759,-1.21124,"bits",1998,199800
252,"Kiambu Township","Kamukunji ndogo ndumberi",36.80509,-1.152071,"bits",6082,608200
253,"Kiambu Township","G-unit super store",36.841618,-1.172933,"bits",4381,438100
254,"Waithaka","Shawnlink Enterprises",36.723937,-1.282357,"bits",3359,335900
255,"Pipeline","Mutifudz Grain Limited (Pipeline)",36.89484,-1.32215,"bits",645,64500
256,"Dandora Phase 4 & 5","Tragbo agencies mowlem",36.907156,-1.257765,"bits",7105,710500
257,"Mathare North","Chamka enterprise",36.870745,-1.253079,"bits",7324,732400
258,"Kayole","Safe Energy",36.918653,-1.274675,"bits",6750,675000
259,"Dandora Phase 4 & 5","Jummos shop",36.909601,-1.244575,"bits",7961,796100
260,"Ruai","Jossy Mini Matt",36.987655,-1.284383,"bits",3708,370800
261,"Mwiki","Wamsoo shop",36.92111,-1.23714,"bits",3832,383200
262,"Githurai 44","Precicot Limited",36.90318,-1.202168,"bits",6686,668600
263,"Kibera","New kibstan w/salers",36.785435,-1.308553,"bits",5585,558500
264,"Athi River","Blessed Gas Centre (Athi River)",36.97751,-1.445829,"bits",5817,581700
265,"Eastleigh","Shell Bidii-EA",36.848602,-1.279231,"bits",1341,134100
266,"Kayole","Kayole Super Duka",36.915335,-1.27713,"bits",2742,274200
267,"Thika","LEVAPTRUZY HARDWARE",37.0584,-1.0417,"bits",6286,628600
268,"Kayole","Fastnet cyber",36.910146,-1.275927,"bits",802,80200
269,"Dandora Phase 1","Rehoboth Shop",36.894304,-1.260006,"bits",1497,149700
270,"Ruiru","Members shop",36.964638,-1.127753,"bits",1034,103400
271,"Gatina","Fair price cereals (gatina)",36.758817,-1.274562,"bits",9988,998800
272,"Dandora Phase 4 & 5","Neema Cereals and Shop",36.907641,-1.242938,"bits",649,64900
273,"Pangani","Dimension investment",36.838569,-1.267324,"bits",3756,375600
274,"Roysambu/Mirema","Six Point One Mart",36.887691,-1.216092,"bits",5078,507800
275,"Pangani","Fresh juices and vegetables store(pangani)",36.839609,-1.270314,"bits",6214,621400
276,"Dandora Phase 4 & 5","Novitech Shop",36.9031,-1.2457,"bits",3759,375900
277,"Eastleigh","Blessed Emelda Enterprises",36.851824,-1.267326,"bits",2789,278900
278,"Mlolongo","MG GAS AND ELECTRONICS",36.942436,-1.391338,"bits",245,24500
279,"Umoja Innercore and 1","Annma Cyber",36.88637,-1.292697,"bits",397,39700
280,"Ruaka/Denderu","Shosh general shop",36.760623,-1.178505,"bits",2060,206000
281,"Mwiki","Jadmas home decor",36.919232,-1.235815,"bits",8509,850900
282,"Imara Daima","Angaza Energy",36.885395,-1.323494,"bits",6937,693700
283,"Waithaka","Sauti fresh(Riruta)",36.727135,-1.283665,"bits",7513,751300
284,"Kariobangi North","Silvapack investment",36.881449,-1.25822,"bits",132,13200
285,"Ruiru","Maina Gas",36.945948,-1.154285,"bits",5862,586200
286,"Eastleigh Section 3","Bancy general supplies",36.852554,-1.287239,"bits",9459,945900
287,"Juja","Truthtech Kinyozi",37.021877,-1.090692,"bits",8107,810700
288,"Ruaraka/Baba Dogo","Mikey Shop",36.883533,-1.247185,"bits",3215,321500
289,"Mathare North","Joy Gas (Mathare North)",36.863132,-1.25431,"bits",1475,147500
290,"Ruai","Tripple J",36.99735,-1.270865,"bits",8370,837000
291,"Githurai 44","A.K Gas Dealers",36.913498,-1.202133,"bits",8574,857400
292,"Juja","Stemuck Enterprises",37.01159,-1.121403,"bits",8464,846400
293,"Kibera","Kakije Posho Mill",36.7815,-1.3088,"bits",6994,699400
294,"Dandora Phase 1","Innocent Shop",36.891345,-1.256646,"bits",401,40100
295,"Embakasi (Fedha, Nyayo,Tasia)","Bahamas (B) Electronics",36.90016,-1.319926,"bits",2648,264800
296,"Huruma","Jennifer shop",36.87801,-1.261433,"bits",8824,882400
297,"Dandora Phase 1","Gateway Cereals Shop",36.889931,-1.258599,"bits",5583,558300
298,"Thika","Landmark Kinyozi",37.092036,-1.073217,"bits",9922,992200
299,"Gachie","Vision Gas",36.767117,-1.219856,"bits",399,39900
300,"Dandora Phase 1","Rescue Butchery",36.886841,-1.260556,"bits",4857,485700
301,"Kiserian","Corner Duka Kiserian",36.682962,-1.426364,"bits",8667,866700
302,"Kayole","Watailor classic collection",36.908417,-1.27944,"bits",5027,502700
303,"Ruaraka/Baba Dogo","Emmysam store",36.883077,-1.24916,"bits",8051,805100
304,"Kariobangi North","Kariobangi Memory Enterprise",36.88065,-1.255859,"bits",6935,693500
305,"Rongai","Bethsaida cereals and shop",36.749353,-1.394476,"bits",1414,141400
306,"Mwiki","Jasco Matt",36.920013,-1.224633,"bits",5093,509300
307,"Thika","Edymac electricals Nyacaba",37.055557,-1.098287,"bits",7442,744200
308,"Dagoretti Corner","EMCO Petrol Station",36.757211,-1.298115,"bits",4696,469600
309,"Embakasi (Fedha, Nyayo,Tasia)","Alevic Chemist",36.88977,-1.30808,"bits",8673,867300
310,"Kayole","Sharks Agencies",36.916525,-1.272425,"bits",1224,122400
311,"Thika","Sabina Muthoni Shop Kibuto",37.053878,-1.073215,"bits",6830,683000
312,"Embakasi (Fedha, Nyayo,Tasia)","Smart shop - Tassia",36.8925,-1.3107,"bits",7226,722600
313,"Syokimau","Rolcham Enterprises",36.925971,-1.366397,"bits",3346,334600
314,"Kasarani","Zam Chicks Outlet",36.871965,-1.230733,"bits",7478,747800
315,"Ngara","Dan General Shop",36.833756,-1.272609,"bits",6810,681000
316,"Kangemi","Teddy Care Chemist",36.750299,-1.267101,"bits",9353,935300
317,"Riruta Satellite","Hermes Dairy",36.738045,-1.29317,"bits",7315,731500
318,"Roysambu/Mirema","Mash gas point",36.893081,-1.206058,"bits",1176,117600
319,"Pangani","Hatron Elect (Pangani)",36.837856,-1.26687,"bits",8554,855400
320,"Dandora Phase 1","Wekonze Enterprise",36.901425,-1.265704,"bits",4132,413200
321,"Kariobangi North","Digital Gas",36.883447,-1.255115,"bits",1333,133300
322,"Ruiru","Safi sacco",36.933376,-1.151615,"bits",630,63000
323,"Kawangware","Amazing Grace",36.75293,-1.283498,"bits",3674,367400
324,"Pipeline","Eddysam mini Selection",36.887867,-1.31018,"bits",8652,865200
325,"Thika","Abrazack Enterprises",37.105692,-1.060787,"bits",2026,202600
326,"Obama","Geoka Traders Cooking Gas",36.9229,-1.257599,"bits",1014,101400
327,"Obama","Chany's Butchery-EA",36.919028,-1.25789,"bits",1729,172900
328,"Kikuyu","Mama Tony Shop,Kikuyu",36.674548,-1.211302,"bits",6490,649000
329,"Bahati","Creammart Holdings Limited",36.85509,-1.29175,"bits",2471,247100
330,"Zimmerman","Bethel Mini Mart (Zimmerman)",36.89597,-1.2142,"bits",7907,790700
